Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Gini index (World Bank estimate),SI.POV.GINI,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Albania,ALB,..,..,..,29,..,34.6,32.9,33.7,33.2,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Algeria,DZA,..,..,27.6,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Angola,AGO,..,52,..,..,..,..,..,..,..,51.3,..,..
Gini index (World Bank estimate),SI.POV.GINI,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Argentina,ARG,..,51.1,42.6,41.3,40.9,41.6,..,42,41.1,41.3,42.9,..
Gini index (World Bank estimate),SI.POV.GINI,Armenia,ARM,..,..,29.4,29.6,30.6,31.5,32.4,32.5,33.6,34.4,29.9,..
Gini index (World Bank estimate),SI.POV.GINI,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Australia,AUS,..,..,..,..,..,34.4,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Austria,AUT,..,28.8,30.8,30.5,30.8,30.5,30.5,30.8,29.7,30.8,..,..
Gini index (World Bank estimate),SI.POV.GINI,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Bangladesh,BGD,..,33.4,..,..,..,..,..,32.4,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Belarus,BLR,..,31.2,27.2,26.5,26.6,27.2,25.6,25.3,25.4,25.2,25.3,..
Gini index (World Bank estimate),SI.POV.GINI,Belgium,BEL,..,33.1,28.1,27.5,27.7,28.1,27.7,27.6,27.4,27.2,..,..
Gini index (World Bank estimate),SI.POV.GINI,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Benin,BEN,..,..,43.4,..,..,..,47.8,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Bhutan,BTN,..,..,..,38.8,..,..,..,..,37.4,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Bolivia,BOL,..,61.6,46.1,46.6,47.6,47.8,46.7,45.3,44.6,42.6,41.6,..
Gini index (World Bank estimate),SI.POV.GINI,Bosnia and Herzegovina,BIH,..,..,33,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Botswana,BWA,..,..,..,..,..,..,53.3,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Brazil,BRA,60.5,..,52.9,53.5,52.8,52.1,51.9,53.3,53.3,53.9,53.4,..
Gini index (World Bank estimate),SI.POV.GINI,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Bulgaria,BGR,..,..,34.3,36,36.6,37.4,38.6,40.6,40.4,41.3,..,..
Gini index (World Bank estimate),SI.POV.GINI,Burkina Faso,BFA,..,..,..,..,..,35.3,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Burundi,BDI,..,..,..,..,38.6,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Cabo Verde,CPV,..,..,..,..,..,..,42.4,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Cameroon,CMR,..,..,..,..,..,46.6,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Canada,CAN,..,33.3,..,33.5,33.8,33.2,33.7,32.7,33.3,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Chad,TCD,..,..,43.3,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Chile,CHL,57.2,52.8,46,..,45.8,..,44.4,..,44.4,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,China,CHN,32.2,..,42.4,42.2,39.7,39.2,38.6,38.5,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Colombia,COL,..,58.7,53.5,52.6,52.6,52.6,51,50.6,49.7,50.4,51.3,..
Gini index (World Bank estimate),SI.POV.GINI,Comoros,COM,..,..,..,..,..,45.3,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,"Congo, Dem. Rep.",COD,..,..,..,42.1,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,"Congo, Rep.",COG,..,..,48.9,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Costa Rica,CRI,45.3,47.4,48.7,48.6,49.3,48.6,48.4,48.7,48.3,48,48.2,..
Gini index (World Bank estimate),SI.POV.GINI,Cote d'Ivoire,CIV,..,..,..,..,..,..,41.5,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Croatia,HRV,..,..,32.3,32.5,32,32.1,31.1,30.9,30.4,29.7,..,..
Gini index (World Bank estimate),SI.POV.GINI,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
Gini index (World Bank estimate),SI.POV.GINI,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
